Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,median_Beak_Length,median_Wing_length,median_BeakLength_WingLength,median_Beak_Mass,BodySize,BodyMass,median_n.pulses,median_drum_duration,median_pulseRateMedian,median_pulseRateDeviation,median_interval_min,median_interval_max,median_interv1_intervMax,median_intervL_intervMax,median_interval_slope_lm2_ordre_coefa,median_interval_nPVI,median_MeanAcc,median_drum_peak_F,median_Amp_pulses_min,median_Amp_pulses_first,median_Amp_pulses_last,median_Amp_pulses_Q25,median_Amp_pulses_Q75,median_Amp_pulses_IQR,median_nPAVI,median_Amp_slope_lm2_ordre_coefa,median_n_seq,median_interval_seq_median,median_PC1,median_PC2,median_PC3,median_PC4,median_PC5,median_PC6,median_LD1,median_LD2,median_LD3,median_LD4,median_LD5,median_LD6,median_LI
Melanerpes_flavifrons,Mel_fla,Melanerpes,New_World,Neotropic,1552765.95,DA3,3,15,0,15,3,7,27.17,118,0.231260504,1.611501504,18,56.5,-0.089197747,-0.343056665,0.562558498,-0.140300172,-0.411642287,-0.475269502,0.561890408,0.098626088,-0.127843192,-0.341160438,-0.231745328,-0.063780824,0.393038467,0.755184589,-0.031635248,-0.139862007,0.191634935,-0.084615177,-0.107423477,0.249239256,-0.252345907,-1.14E-16,-0.60655956,-0.645108751,-0.15947495,0.761157346,-0.042533834,-0.256193545,-2.900346964,-1.342467657,-0.463903643,0.121638036,-0.014644466,-0.455175223,1.293376014
Melanerpes_formicivorus,Mel_for,Melanerpes,New_World,Nearctic,1817041.68,DA3,4,22,4,15,2,5,27.89,140,0.199214286,2.10894598,22,77.5,-0.663520793,-0.508663466,-0.585436441,-0.316239609,0.853276584,-0.18300879,0.561890408,0.495644663,0.316123004,-0.243498627,-0.270446398,0.313013437,0.976862777,0.197639449,0.47816291,0.30986019,-0.159993735,-0.766424051,-0.557192046,0.192819074,-0.252345907,-1.14E-16,-1.675201957,0.942180862,0.124232977,-0.523583348,-0.193702517,0.740711738,-2.621104943,2.208202541,-1.515201996,1.322988275,-0.146954725,-0.16006627,1.625880095
Melanerpes_hoffmannii,Mel_hof,Melanerpes,New_World,Neotropic,86121.95,DA1,4,5,0,4,0,0,27.97,122,0.229262295,1.70653174,19.5,73,-0.221733835,0.05517163,-0.886179011,-0.594961077,1.108009294,0.017228461,0.561890408,0.505446491,0.074596836,-0.23022999,-0.316137915,-0.172962212,-0.849494641,-1.619580361,0.995737018,0.676011388,-0.081459488,-0.827863519,-0.013331615,0.218099276,-0.252345907,-1.14E-16,-1.010842069,0.703792153,1.441662936,-1.552724077,-0.142434469,0.625589086,-2.465235326,3.2853441,1.300616657,1.703231018,-0.083525117,0.646226381,2.634360493
Melanerpes_lewis,Mel_lew,Melanerpes,New_World,Nearctic,1694006.74,DA3,3,14,2,14,1,3,32.27,162,0.196094675,2.461411325,27.5,111.5,-0.133376443,-0.172674358,0.350614807,-0.674765814,-0.563264819,0.952080031,0.561890408,0.406606512,0.868082511,0.089919911,-0.233799423,-0.704349198,-0.383147092,0.186630395,0.624962368,-1.25078261,-2.745984456,-0.855129665,0.291839662,0.489969268,-0.252345907,-1.14E-16,1.645347377,-1.509995667,-0.095369056,0.215983173,-2.32252731,-0.90522119,0.418018121,-1.669173118,2.559178441,-2.109758823,-2.633777167,0.055683411,2.731414821
Melanerpes_pucherani,Mel_puc,Melanerpes,New_World,Neotropic,564658.83,DA1,3,14,1,10,4,6,24.66,112,0.216315789,1.414267644,18,55,0.220053123,-0.22027689,0.271596551,0.113578783,-0.301039825,-0.47971466,0.465189849,0.87514705,-0.14091473,-0.324616925,-0.352468602,-0.098789961,0.558527631,0.295339882,0.562377722,0.046770967,-0.744062475,-0.599153611,-0.160043296,0.289691493,-0.252345907,-1.14E-16,-0.476982853,-0.963841551,0.57880858,1.181515948,-0.041855737,0.203555714,-3.418018747,-1.020454699,0.960650506,1.275749279,-0.052467304,-0.59050709,1.079519087
Melanerpes_pygmaeus,Mel_pyg,Melanerpes,New_World,Neotropic,149962.33,DA1,3,7,0,5,1,4,22.37,99,0.221818182,1.019976492,17,39,-0.045019051,-0.204780062,-0.140112554,-0.230793941,0.385777409,-0.434152079,0.463779118,0.452854477,-0.075631735,-0.367404218,-0.367027033,0.573298418,-0.373848397,0.5248846,1.294749834,-0.184894277,-0.182816058,-0.243258648,-0.121160896,0.280161537,-0.252345907,-1.14E-16,-0.952168151,1.363867268,0.859662866,-0.429092311,0.01101492,0.594343556,-3.984985744,1.441352184,1.398961796,2.172094671,-0.074185569,-0.878186828,1.629681834
Melanerpes_radiolatus,Mel_rad,Melanerpes,New_World,Neotropic,11075.43,DA1,4,0,0,0,0,0,41.42,135,0.304558824,3.86805876,24.5,111.5,0.220053123,0.685232442,-0.648099303,-1.84422592,0.427661589,0.939633121,-1.83510888,0.87514705,0.159623082,-0.066672319,-0.398461265,-0.377800845,0.34289791,-0.667667878,1.104915946,0.912983624,0.483371458,-0.794720202,-0.329330777,0.311463045,-0.252345907,-1.14E-16,0.633683099,1.619884041,1.689606884,0.069756433,-1.2668681,-0.044199005,2.123006509,2.655532303,1.976000772,0.88560266,-1.430867168,-2.118870049,2.189627288
Melanerpes_superciliaris,Mel_sup,Melanerpes,New_World,Neotropic,123539.2,DA1,4,3,0,0,0,0,41.23,141,0.2945,3.271336177,29,104.5,-0.398448618,-0.320880965,-0.342574496,-0.182808086,0.572987533,-0.225708911,0.561890408,0.082629819,0.042557377,-0.239005388,-0.23883459,-0.261044027,0.720711095,0.275498636,0.103864227,0.532883738,0.585467658,-0.553197264,-0.378674087,0.219769478,-0.252345907,-1.14E-16,-1.531868166,0.926470868,0.181533502,-0.400107189,0.095839149,-0.097951847,-2.616736236,1.700507439,-1.368970623,0.764612361,0.116231994,-1.360273389,1.718610791
Melanerpes_uropygialis,Mel_uro,Melanerpes,New_World,Nearctic,586232.34,DA1,4,11,2,9,1,2,32.46,141,0.223862069,1.953729786,23.25,66,-0.045019051,-0.096004588,-0.533448624,-0.186538417,0.371973279,-0.305883013,0.523110959,0.80612097,-0.008252812,-0.342284204,-0.347980752,0.084318162,-0.02190741,-0.958899769,1.433865743,0.666512314,0.525621125,-0.451716263,-0.413245543,0.278165593,-0.252345907,-1.14E-16,-0.897484125,1.012204732,1.073580302,-0.098644761,-0.06551008,0.877534694,-3.558582134,2.528885288,1.245785477,1.979600503,-0.06041463,-0.899390562,2.071945019
Micropternus_brachyurus,Mic_bra,Micropternus,Old_world,Indomalaya,6179386.36,DA5,4,12,0,10,0,5,28.94,130,0.22480916,2.305039029,25,84.5,0.264231819,1.111039602,-1.527562297,-0.408113374,0.064569052,1.22305278,-2.233313878,0.87514705,0.315526195,-0.057463602,-0.478037527,-0.872762653,0.023317074,-0.722399767,0.726758981,-0.12689889,-0.128810641,-0.154311948,-0.136756597,0.241963845,-0.252345907,-1.14E-16,0.7308908,1.219649055,1.678426663,-1.396086778,-0.527736892,-0.653132544,2.999939793,3.88414709,3.012880335,-0.493785723,-0.369018461,-1.133343982,3.680622365
Picoides_arcticus,Pico_arc,Picoides,New_World,Nearctic,5914367.52,DA5,4,12,1,12,2,2,35.4,128,0.29484375,2.948509807,24,74.5,1.10362704,0.863123303,-0.364582333,0.199929618,0.10156883,-0.284933697,0.561890408,-0.221122733,-0.214077995,-0.406680764,-0.278300757,-0.07577366,-1.006053132,-1.61182584,-0.487471695,0.148503706,0.17467637,0.007971482,0.133619975,0.228438898,-0.252345907,-1.14E-16,0.467512348,-1.026032314,1.185354376,-1.263881915,0.770641644,-0.176898268,-2.092690316,1.296289216,3.322971945,-0.628458217,1.362141274,1.174337699,2.084920593
Picoides_dorsalis,Pico_dor,Picoides,New_World,Nearctic,7359663.91,DA5,1,11,1,11,2,1,31.04,122,0.260840336,1.922639692,21.5,55.75,-0.133376443,0.163749141,-1.259746868,1.52156934,0.130430483,-0.016886888,0.561890408,-0.82720983,-0.339153939,-0.305915439,-0.175817488,0.1782433,-0.727371485,-0.483637486,-1.21126908,-0.170345542,0.505785853,0.255929239,-0.211883468,0.012017357,-0.252345907,-1.14E-16,-0.109603189,-0.267014602,-0.514894696,-1.79516293,1.230397223,-0.263114941,-0.320637945,2.136313511,-1.033364239,-1.978952892,2.040681187,1.173316591,3.022060528
Picoides_tridactylus,Pico_tri,Picoides,Old_world,Palearctic,16059422.31,DA6,1,10,0,8,2,5,30.58,122,0.259152542,2.446967668,22,61,-0.133376443,0.071633846,-0.978207357,0.808923239,0.143389537,-0.254198752,0.146907787,-0.4568671,-0.543689895,-0.335321268,-0.234425184,-0.133883776,-0.549965928,-0.658356631,-1.064003206,0.476909654,0.666693157,-0.100327244,-0.303952996,0.004814854,-0.252345907,-1.14E-16,-0.350069692,-0.239237616,0.299204263,-1.348785549,0.989516427,-0.1953946,-1.586277622,2.285969255,-0.498079313,-0.624974325,1.714317397,0.72513678,2.280598603
Picumnus_aurifrons,Picum_aur,Picumnus,New_World,Neotropic,3359041.79,DA4,5,16,3,16,5,3,10.85,49,0.221428571,0.165232884,7.75,9,0.131695732,0.572445654,-0.918132156,-1.064180455,0.839677761,3.968731368,-2.6857575,-2.105290632,-1.054008711,1.220244123,-0.160657395,0.190364926,0.05568343,-0.375574288,0.847187458,0.183204622,0.040363242,-0.044957064,-0.053384911,0.238240404,0.549928769,0.935453143,2.448611041,3.736666974,2.086583267,-1.126523041,-3.068381903,-0.960526863,13.19560028,3.848924605,1.861123562,-1.473986188,-2.252990713,-1.485557907,4.063987524
Picumnus_cirratus,Picum_cir,Picumnus,New_World,Neotropic,3017926.65,DA4,5,25,4,25,5,3,10.59,50,0.218958333,0.24614098,9.5,9.4,0.926912256,1.184176154,-1.027134598,-0.642982001,0.538283863,2.422970712,-2.691043585,-2.097177598,-0.451512398,0.922954104,-0.134086992,1.543105523,-0.722309418,-1.464863222,0.777686562,-1.031946474,-0.866580435,0.288351609,1.197689271,0.240097226,0.951066106,0.263443618,4.856163509,1.587569974,2.661079367,-1.974159359,-0.845912931,0.774593065,15.72651692,2.206772322,6.368905187,-0.748271952,-0.976513545,1.109574235,3.971764551
Picumnus_exilis,Picum_exi,Picumnus,New_World,Neotropic,1856549.74,DA3,5,19,2,19,4,2,11.23,51,0.2162,0.159882934,9.5,9.25,0.926912256,1.860008488,-0.649251765,-1.551953784,0.446051122,2.348353531,-2.613857107,-2.175254292,-0.517924774,1.579866411,0.215498854,0.774735065,-0.727669479,-1.099564144,0.251283844,-0.043608197,-0.745044226,-0.117593987,0.83339331,0.275263521,1.753340781,-0.310394011,3.933750752,2.663528706,1.820768555,-0.655350667,-0.621168478,0.463595983,15.95291121,2.094300126,4.593666536,-1.049245282,-1.391946049,-0.59756969,4.718319657
Picumnus_innominatus,Picum_inn,Picumnus,Old_world,Indomalaya,4263784.63,DA4,4,13,0,10,1,5,11.09,54,0.202037037,0.168582191,10,11.1,1.633771389,2.953942058,-1.948722061,0.064847886,3.635297443,0.382517878,-0.132505577,0.87514705,-0.196935607,-0.351742482,-0.365965868,0.451119218,-0.27466506,-1.160681609,0.537394029,-0.109143632,0.295181292,-0.580046288,0.421609695,0.273567518,-0.252345907,-1.14E-16,0.545185972,1.165868417,3.435010782,-3.046758829,1.428518307,0.127208175,1.638015451,7.373552998,5.19010503,1.151408845,2.508850906,-0.645610029,5.42239664
Picumnus_nebulosus,Picum_neb,Picumnus,New_World,Neotropic,655849.49,DA1,6,12,2,12,0,0,11.87,54,0.219814815,0.256697838,10.5,11.5,3.091668351,5.575665659,-0.557962326,-2.750902473,-0.425360725,2.564024911,-2.877046805,-1.222585928,-0.234723556,3.11093457,1.561850911,0.934091832,-0.978867344,-0.59153832,-0.137837187,-0.507688369,-0.990934173,-0.095096072,2.696035625,0.299557674,6.366420164,-0.039208722,9.11952714,3.183831849,2.880391373,0.414769009,0.196398491,-0.28435844,31.32793999,-1.44478412,10.79130351,-2.134900739,-0.368817832,-0.302572611,4.568795065
Picumnus_rufiventris,Picum_ruf,Picumnus,New_World,Neotropic,1569759.12,DA3,5,15,1,15,2,1,17.63,63,0.27984127,0.600769911,10,14,0.396767907,1.238250832,-0.260025412,-1.03697051,0.236683029,3.17906068,-2.826803024,-2.289174399,-0.597841916,0.944205659,0.077874459,0.061982719,-0.623835366,-1.166185156,1.190407216,0.052426133,-0.062269492,-0.335450686,0.103051839,0.273387202,0.549928769,0.890816706,3.39449852,2.338672752,2.545720726,-1.009100981,-2.79795135,-0.47674632,12.09164223,3.162462083,4.25329964,-1.276458481,-2.331890879,-1.064329449,4.008905193
