state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
749000	0.085	79.806	0.591	40	0	0.000	0.289	0.547	-85.80	-168.03	0.00	-1.82
750000	0.037	540.946	0.769	33	0	0.000	0.355	0.517	-79.62	-140.22	-0.00	-0.69
751000	0.016	165.184	0.912	40	0	0.000	0.539	0.396	-93.69	-168.03	-0.00	0.00
752000	0.001	11.533	0.654	36	0	0.000	0.407	1.919	-96.92	-151.95	-0.00	1.91
753000	0.001	38.389	0.794	39	0	0.000	0.355	0.495	-96.63	-163.97	-0.00	0.00
754000	0.055	56.222	1.870	48	0	0.000	0.317	0.260	-102.12	-201.34	-0.00	0.00
755000	0.015	8.973	1.053	37	0	0.000	0.320	1.054	-86.42	-155.93	0.00	-0.32
756000	0.012	91.560	2.071	39	0	0.000	0.445	0.472	-99.83	-163.98	0.00	-1.35
757000	0.003	114.534	0.818	38	0	0.000	0.333	0.787	-90.53	-159.96	-0.00	-0.69
758000	0.007	111.901	1.576	42	0	0.000	0.221	1.270	-89.71	-176.24	0.00	0.69
759000	0.000	9.427	0.408	33	0	0.000	0.368	0.487	-91.90	-140.19	-0.00	1.43
760000	0.024	46.282	0.645	36	0	0.000	0.396	0.877	-99.39	-151.97	0.00	-2.27
761000	0.017	118.943	2.991	39	0	0.000	0.340	0.541	-104.03	-164.00	-0.00	1.38
762000	0.018	13.176	0.591	44	0	0.000	0.341	0.251	-94.62	-184.48	0.00	-3.98
763000	0.035	59.963	0.440	42	0	0.000	0.383	0.787	-91.69	-176.23	-0.01	0.00
764000	0.006	61.251	1.329	46	0	0.000	0.233	2.100	-90.19	-192.88	-0.00	0.00
765000	0.016	45.405	0.814	37	0	0.000	0.271	0.982	-86.87	-155.94	-0.00	0.00
766000	0.006	38.442	0.555	36	0	0.000	0.314	0.736	-83.94	-151.95	0.00	0.00
767000	0.017	264.732	1.717	33	0	0.000	0.284	1.946	-101.90	-140.22	0.00	0.00
768000	0.069	718.929	0.981	36	0	0.000	0.280	1.496	-90.02	-151.99	0.00	4.87
769000	0.010	47.978	0.565	37	0	0.000	0.280	1.098	-86.60	-155.93	0.00	4.77
770000	0.077	177.256	2.288	46	0	0.000	0.023	0.785	-101.05	-192.90	0.00	0.00
771000	0.012	68.944	0.755	44	0	0.000	0.291	0.760	-90.99	-184.52	0.00	0.00
772000	0.038	156.731	1.445	46	0	0.000	0.296	1.322	-96.28	-192.90	-0.00	0.00
773000	0.017	50.599	0.622	42	0	0.000	0.273	1.324	-94.63	-176.22	-0.00	1.40
774000	0.003	36.338	0.911	39	0	0.000	0.324	1.817	-97.73	-163.98	0.00	0.88
775000	0.008	278.689	0.414	42	0	0.000	0.413	0.438	-96.73	-176.22	0.00	4.87
776000	0.032	132.261	0.601	38	0	0.000	0.310	0.451	-87.02	-159.95	-0.00	0.00
777000	0.001	34.748	1.073	39	0	0.000	0.174	-0.710	-95.58	-163.97	0.00	-2.80
778000	0.007	31.112	1.717	42	0	0.000	0.277	0.697	-99.93	-176.22	0.00	0.00
779000	0.010	8.884	1.163	38	0	0.000	0.241	0.227	-96.12	-159.93	0.00	-0.69
780000	0.000	38.085	0.680	43	0	0.000	0.367	0.307	-96.00	-180.35	0.03	0.00
