File,Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,BodySize,BodyMass,n.pulses,drum_duration,pulseRateMedian,pulseRateDeviation,interval_min,interval_max,interv1_intervMax,intervL_intervMax,interval_slope_lm2_ordre_coefa,interval_nPVI,MeanAcc,drum_peak_F,Amp_pulses_min,Amp_pulses_first,Amp_pulses_last,Amp_pulses_Q25,Amp_pulses_Q75,Amp_pulses_IQR,nPAVI,Amp_slope_lm2_ordre_coefa,n_seq,interval_seq_median
Campephilus_haematogaster_35865.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.370379926,-1.057551511,-0.435064823,0.086626307,0.650305288,-0.400372429,0.561890408,0.511520161,0.187561814,-0.32178284,-0.110474226,0.437158838,0.367124174,1.083282122,-0.302718847,0.198760634,0.739426153,0.298603732,-0.756578442,-2.185660475,-0.252345907,-1.14E-16
Campephilus_haematogaster_60340.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.635452101,-1.259016725,-0.522539511,0.088357105,1.000023047,-0.422737454,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.850894693,2.502825968,1.056648901,1.679354085,1.795625285,1.230135297,-1.355211063,-0.957152512,5.06E-18,-0.252345907,-1.14E-16
Campephilus_haematogaster_60633.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.105307751,-0.858660092,-0.379725087,-0.002437467,0.525140906,-0.362307862,0.561890408,0.225385969,0.172340568,-0.357903363,-0.134858499,-0.239647409,0.55429732,0.904106827,-0.147344814,0.18632976,0.34172822,0.018570887,-0.749420194,0.069917871,-0.252345907,-1.14E-16
Campephilus_haematogaster_65633.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.635452101,-1.253717742,-0.762068665,0.088357105,1.361409955,-0.364373235,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.838413027,2.496607294,1.257846277,1.464983353,1.787416051,1.230135297,-1.344833084,-0.956757827,5.06E-18,-0.252345907,-1.14E-16
Campephilus_haematogaster_72563.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.547094709,-1.168155592,-0.974561406,0.088357105,1.57602144,-0.277921283,0.561890408,0.652544423,1.25E-17,-0.222052024,-0.044511296,-0.840958829,1.741108024,0.813814515,0.83783693,1.092081837,0.606036828,-0.929913251,-0.868670674,-8.271698663,-0.252345907,-1.14E-16
Campephilus_haematogaster_97651.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.635452101,-1.264039929,-0.25899387,0.088357105,0.657444137,-0.47806417,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.532967989,2.278406084,1.257846277,1.283852658,1.499369989,1.230135297,-0.980689945,-0.942541589,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_165104.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.270663788,0.158778326,0.088357105,0.205701652,-0.551020874,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.624899366,2.682562723,1.257846277,1.61934655,2.03289466,1.230135297,-1.655163141,-0.968320603,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_165113.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.264092832,-0.255998756,0.088357105,0.653836162,-0.47864686,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.509313296,0.429679735,1.257846277,-0.25079094,-0.941122194,1.230135297,2.104540503,-0.784419373,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_165114.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.263327432,-0.298856207,0.088357105,0.706035889,-0.470216571,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.492981594,1.987175059,1.250420923,1.042099287,1.11491772,1.20926223,-0.510193892,-0.922936364,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_165115.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.265417755,-0.179344857,0.088357105,0.563477326,-0.493239871,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.487399821,0.856002875,1.257846277,0.103103555,-0.378335662,1.230135297,1.393074939,-0.828255996,5.06E-18,-0.252345907,-1.14E-16
