Strategy,Mean_LI
Strat3,0.380452735
Strat3,0.588741723
Strat3,0.439106194
Strat3,0.514295083
Strat3,0.483506673
Strat3,0.469846684
Strat3,0.488836749
Strat3,0.484929712
Strat3,0.466749119
Strat3,0.421529435
Strat3,0.429541156
Strat4,0.4443929
Strat4,0.537152586
Strat4,0.355639932
Strat4,0.449734374
Strat4,0.428902806
Strat4,0.516723365
Strat4,0.524510386
Strat4,0.432015677
Strat4,0.408772197
Strat4,0.533551231
Strat4,0.476265933
Strat4,0.505216965
Strat4,0.594835427
Strat4,0.590074795
Strat4,0.489320408
Strat4,0.438680546
Strat4,0.355339302
Strat4,0.647711821
Strat4,0.469600088
Strat4,0.492884969
Strat4,0.379901896
Strat4,0.414342228
Strat4,0.42245179
Strat4,0.350866519
Strat4,0.382260333
Strat4,0.519428559
Strat4,0.448399806
Strat4,0.478540963
Strat4,0.502975058
Strat4,0.41692251
Strat4,0.487151068
Strat4,0.301351449
Strat4,0.404440813
Strat4,0.373764118
Strat4,0.456945794
Strat4,0.444246567
Strat4,0.527150178
Strat4,0.397318446
Strat4,0.400094518
Strat4,0.385527549
Strat4,0.365066659
Strat4,0.384123092
Strat4,0.416439942
Strat4,0.385297982
Strat4,0.500670026
Strat4,0.542008759
Strat4,0.437077994
Strat4,0.516304518
Strat4,0.475306703
Strat4,0.573039365
Strat4,0.501904663
Strat4,0.511690644
Strat4,0.534099815
Strat4,0.40730847
Strat4,0.33697726
Strat4,0.469058765
Strat4,0.467053656
Strat4,0.646430061
Strat4,0.461926659
Strat4,0.535229314
Strat4,0.355803989
Strat4,0.359482406
Strat4,0.441671616
Strat4,0.531699001
Strat4,0.49226742
Strat4,0.47001998
Strat4,0.489552342
Strat4,0.414779935
Strat4,0.557026126
Strat4,0.470286846
Strat4,0.378945636
Strat4,0.538902254
Strat4,0.428995896
Strat4,0.396024281
Strat4,0.487452283
Strat4,0.523367673
Strat4,0.338101938
Strat4,0.373381063
Strat4,0.468477375
Strat4,0.416026173
Strat4,0.417334863
Strat4,0.512648885
Strat4,0.404739056
Strat4,0.45049456
Strat4,0.403889565
Strat4,0.45305287
Strat4,0.400427106
Strat4,0.435845677
Strat4,0.43618564
Strat4,0.396958777
Strat4,0.617333582
Strat4,0.419157994
Strat4,0.487936129
Strat4,0.465234491
Strat4,0.408093653
Strat4,0.474076884
Strat4,0.492321083
Strat4,0.367309888
Strat4,0.463646176
Strat4,0.422593053
Strat5,0.59158117
Strat5,0.543893797
Strat5,0.577122016
Strat5,0.576129105
Strat5,0.59244662
Strat5,0.547399296
Strat5,0.600884539
Strat5,0.602242877
Strat5,0.593689339
Strat5,0.560924352
Strat5,0.536104588
Strat5,0.557885467
Strat5,0.556828794
Strat5,0.545839691
Strat5,0.570214908
Strat5,0.571339576
Strat5,0.574560595
Strat5,0.559088716
Strat5,0.585991316
Strat5,0.58185877
Strat5,0.585355632
Strat5,0.575599953
Strat5,0.569364997
Strat5,0.563167184
Strat5,0.579361927
Strat5,0.575785497
Strat5,0.573410304
Strat5,0.568621521
Strat5,0.560258399
Strat5,0.567752911
Strat5,0.582835206
Strat5,0.576385285
Strat5,0.558405409
Strat5,0.603674491
Strat5,0.566706305
Strat5,0.583869414
Strat5,0.572750283
Strat5,0.566033116
Strat5,0.593060631
Strat5,0.580201596
Strat5,0.555463113
Strat5,0.581047342
Strat5,0.599058765
Strat5,0.593881986
Strat5,0.588370678
Strat5,0.593995583
Strat5,0.5315585
Strat5,0.600274483
Strat5,0.543885886
Strat5,0.571164977
Strat5,0.603740716
Strat5,0.516012419
Strat5,0.539851793
Strat5,0.54480817
Strat5,0.586227702
Strat5,0.57763506
Strat5,0.576934338
Strat5,0.539101797
Strat5,0.589597875
Strat5,0.587977508
Strat5,0.615054099
Strat5,0.572563392
Strat5,0.56985085
Strat5,0.580987605
Strat5,0.529736495
Strat5,0.592123566
Strat5,0.598040273
Strat5,0.570314286
Strat5,0.568971718
Strat5,0.58143223
Strat5,0.586840185
Strat5,0.572753492
Strat5,0.606393957
Strat5,0.577074149
Strat5,0.580174999
Strat5,0.590449669
Strat5,0.575229734
Strat5,0.582626773
Strat5,0.607410814
Strat5,0.560581143
Strat5,0.553413
Strat5,0.588599749
Strat5,0.57498505
Strat5,0.576642979
Strat5,0.581558636
Strat5,0.578394479
Strat5,0.583923341
Strat5,0.569533857
Strat5,0.579171524
Strat5,0.590661233
Strat5,0.566141242
Strat5,0.52929906
Strat5,0.585706203
Strat5,0.551913393
Strat5,0.590947236
Strat5,0.588004787
Strat5,0.604627023
Strat5,0.589571753
Strat5,0.583974916
Strat5,0.546111468
Strat6,0.701226085
Strat6,0.698787084
Strat6,0.69583771
Strat6,0.693998564
Strat6,0.690381958
Strat6,0.698345549
Strat6,0.706140219
Strat6,0.703753375
Strat6,0.698569987
Strat6,0.698845383
Strat6,0.689584856
Strat6,0.700683042
Strat6,0.704211274
Strat6,0.711141722
Strat6,0.702948272
Strat6,0.691517181
Strat6,0.703809747
Strat6,0.703851659
Strat6,0.694561934
Strat6,0.703015389
Strat6,0.706953145
Strat6,0.690149016
Strat6,0.699230825
Strat6,0.691021499
Strat6,0.68909765
Strat6,0.695114725
Strat6,0.695240681
Strat6,0.704656928
Strat6,0.706669004
Strat6,0.703384896
Strat6,0.708203868
Strat6,0.694450178
Strat6,0.703818144
Strat6,0.703567864
Strat6,0.701863084
Strat6,0.703610756
Strat6,0.707034923
Strat6,0.703576957
Strat6,0.702851143
Strat6,0.696612797
Strat6,0.695850311
Strat6,0.697694666
Strat6,0.702914432
Strat6,0.694578177
Strat6,0.696806462
Strat6,0.705794968
Strat6,0.683044603
